brand_raw,score
13th Gen Intel(R) Core(TM) i5-1335U,3437
12th Gen Intel(R) Core(TM) i5-12400F,3511
11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,2731
Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,2589
Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,2630
Intel(R) Core(TM) i5-8300H CPU @ 2.30GHz,2319
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,1952
Intel(R) Xeon(R) CPU E5-2650 v4 @ 2.20GHz,1507
Intel(R) Xeon(R) CPU E5-2670 v3 @ 2.30GHz,1702
Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,1868
Intel(R) Xeon(R) CPU E5-2643 v3 @ 3.40GHz,2099
Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,1880
Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,2285
Intel(R) Xeon(R) Gold 6330 CPU @ 2.00GHz,2034
