rss,vms,shared,text,lib,data,dirty
131072,3715072,131072,4096,0,401408,0
7077888,10108928,4194304,4096,0,3584000,0
12451840,521670656,7995392,4096,0,467640320,0
14548992,523366400,8388608,4096,0,469291008,0
16121856,524865536,8650752,4096,0,470679552,0
17682432,526856192,9043968,4096,0,472375296,0
18993152,527347712,9437184,4096,0,472686592,0
20041728,528797696,9437184,4096,0,474136576,0
20959232,529215488,9568256,4096,0,474476544,0
25415680,537034752,12320768,4096,0,476237824,0
30097408,539705344,15335424,4096,0,477163520,0
35643392,549031936,15990784,4096,0,486490112,0
49684480,599121920,16121856,4096,0,536580096,0
80859136,599121920,16121856,4096,0,536580096,0
56799232,574582784,16121856,4096,0,512040960,0
