user,system,children_user,children_system,iowait,time,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
0.97,0.02,0.0,0.0,0.0,1.0011494159698486,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
0.99,0.02,0.0,0.0,0.0,1.0286836624145508,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.02,0.02,0.0,0.0,0.0,1.0580358505249023,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.05,0.02,0.0,0.0,0.0,1.0881662368774414,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.08,0.03,0.0,0.0,0.0,1.1191761493682861,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.11,0.03,0.0,0.0,0.0,1.1510841846466064,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.15,0.03,0.0,0.0,0.0,1.1839206218719482,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.18,0.03,0.0,0.0,0.0,1.217630386352539,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.21,0.03,0.0,0.0,0.0,1.2523446083068848,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.25,0.03,0.0,0.0,0.0,1.288036823272705,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.29,0.03,0.0,0.0,0.0,1.3247315883636475,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.32,0.03,0.0,0.0,0.0,1.3626148700714111,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.36,0.03,0.0,0.0,0.0,1.4013519287109375,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.4,0.03,0.0,0.0,0.0,1.441314458847046,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.44,0.03,0.0,0.0,0.0,1.4824025630950928,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.48,0.03,0.0,0.0,0.0,1.5246658325195312,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.52,0.03,0.0,0.0,0.0,1.568119764328003,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.57,0.03,0.0,0.0,0.0,1.6128160953521729,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.61,0.04,0.0,0.0,0.0,1.6587584018707275,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.65,0.04,0.0,0.0,0.0,1.706075668334961,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.7,0.04,0.0,0.0,0.0,1.7547101974487305,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
1.74,0.05,0.0,0.0,0.0,1.8047161102294922,Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz,GenuineIntel,X86_64,12,1.5 MiB,12582912,4.1729 GHz,2.9000 GHz,256,6,KNP
