user,system,children_user,children_system,iowait,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
0.05,0.01,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
0.98,0.09,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.01,0.09,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.05,0.09,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.09,0.09,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.14,0.09,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.18,0.09,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.23,0.09,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.27,0.1,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.32,0.1,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.38,0.1,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.42,0.11,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.48,0.11,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.54,0.11,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.61,0.11,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.66,0.12,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.73,0.12,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.79,0.13,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.86,0.13,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
1.94,0.13,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
2.02,0.13,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
2.1,0.13,0.0,0.0,0.0,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
