total_time,total_cpu_usage,max_ram_usage,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
32.01,99%,1465312,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
19.09,99%,1468484,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
38.45,99%,1468268,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
25.10,99%,1469420,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
23.94,99%,1470292,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,KNP
25.09,99%,16140,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,N_Queens
24.92,99%,15784,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,N_Queens
25.06,99%,15936,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,N_Queens
24.98,99%,15732,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,N_Queens
25.07,99%,15936,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,N_Queens
24.33,99%,32112,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,TSP
23.69,100%,31820,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,TSP
23.39,100%,32104,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,TSP
24.14,99%,31972,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,TSP
22.81,99%,32104,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,TSP
47.94,1061%,2382920,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,MATRIX_MULT
39.59,1152%,2387488,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,MATRIX_MULT
37.40,1157%,2391900,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,MATRIX_MULT
37.63,1158%,2397916,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,MATRIX_MULT
38.54,1132%,2391100,13th Gen Intel(R) Core(TM) i5-1335U,GenuineIntel,X86_64,12,7.5 MiB,12582912,2.4960 GHz,2.4960 GHz,1280,7,MATRIX_MULT
