user,system,children_user,children_system,iowait,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
0.0,0.0,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
0.94,0.05,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
0.97,0.05,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.0,0.05,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.04,0.05,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.07,0.05,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.11,0.05,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.15,0.05,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.19,0.06,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.23,0.06,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.27,0.06,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.31,0.06,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.35,0.07,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.4,0.07,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.44,0.07,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.49,0.08,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.54,0.08,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.59,0.08,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.64,0.08,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.7,0.08,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.76,0.09,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.82,0.09,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.88,0.09,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
1.94,0.09,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
2.0,0.1,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
2.07,0.11,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
2.14,0.11,0.0,0.0,0.0,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,3.0002 GHz,3.0000 GHz,256,6,KNP
