user,system,children_user,children_system,iowait,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
0.0,0.0,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
0.95,0.05,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
0.99,0.05,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
1.04,0.05,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
1.1,0.05,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
1.15,0.05,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
1.21,0.05,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
1.27,0.05,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
1.33,0.05,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
1.4,0.05,0.0,0.0,0.0,Intel(R) Xeon Phi(TM) CPU 7210 @ 1.30GHz,GenuineIntel,X86_64,64,33554432,1048576,1.0000 GHz,1.3000 GHz,1024,8,KNP
