rss,vms,shared,text,lib,data,dirty,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
4050944,42909696,3416064,28672,0,282624,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
128630784,166789120,7651328,28672,0,124182528,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
134709248,176640000,7651328,28672,0,134033408,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
137613312,177315840,7651328,28672,0,134709248,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
141398016,181100544,7651328,28672,0,138493952,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
145182720,185020416,7651328,28672,0,142413824,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
148697088,188534784,7651328,28672,0,145928192,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
154574848,192049152,7651328,28672,0,149442560,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
158629888,195698688,7651328,28672,0,153092096,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
162955264,199483392,7651328,28672,0,156876800,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
167247872,219504640,7651328,28672,0,176898048,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
172650496,225046528,7651328,28672,0,182439936,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
178257920,228560896,7651328,28672,0,185954304,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
182042624,232345600,7651328,28672,0,189739008,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
186638336,236806144,7651328,28672,0,194199552,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
191234048,241537024,7651328,28672,0,198930432,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
197652480,245727232,7651328,28672,0,203120640,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
202788864,250863616,7651328,28672,0,208257024,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
207654912,255864832,7651328,28672,0,213258240,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
216506368,262623232,7651328,28672,0,220016640,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
221913088,267894784,7651328,28672,0,225288192,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
227860480,273707008,7651328,28672,0,231100416,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
235900928,279789568,7651328,28672,0,237182976,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
241577984,285601792,7651328,28672,0,242995200,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
246419456,290197504,7651328,28672,0,247590912,0,Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz,GenuineIntel,X86_64,40,41943040,28835840,877.7340 MHz,2.1000 GHz,256,6,KNP
