user,system,children_user,children_system,iowait,time,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
0.0,0.0,0.0,0.0,0.0,9.5367431640625e-07,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
0.93,0.05,0.0,0.0,0.0,1.0012259483337402,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
0.96,0.06,0.0,0.0,0.0,1.0326755046844482,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.0,0.06,0.0,0.0,0.0,1.0658018589019775,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.03,0.06,0.0,0.0,0.0,1.10009765625,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.06,0.06,0.0,0.0,0.0,1.1355068683624268,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.1,0.06,0.0,0.0,0.0,1.1720573902130127,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.13,0.06,0.0,0.0,0.0,1.2097959518432617,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.17,0.06,0.0,0.0,0.0,1.2488129138946533,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.21,0.06,0.0,0.0,0.0,1.2890045642852783,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.25,0.07,0.0,0.0,0.0,1.3304674625396729,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.29,0.07,0.0,0.0,0.0,1.3733036518096924,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.34,0.07,0.0,0.0,0.0,1.4175257682800293,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.37,0.08,0.0,0.0,0.0,1.4631755352020264,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.42,0.08,0.0,0.0,0.0,1.5103368759155273,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.46,0.08,0.0,0.0,0.0,1.5589258670806885,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.51,0.08,0.0,0.0,0.0,1.6091136932373047,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.56,0.08,0.0,0.0,0.0,1.6609523296356201,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.61,0.09,0.0,0.0,0.0,1.7144193649291992,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.67,0.09,0.0,0.0,0.0,1.7696397304534912,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.72,0.09,0.0,0.0,0.0,1.8266220092773438,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.78,0.09,0.0,0.0,0.0,1.8854484558105469,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.84,0.1,0.0,0.0,0.0,1.9461252689361572,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.89,0.1,0.0,0.0,0.0,2.00885009765625,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
1.95,0.11,0.0,0.0,0.0,2.0735573768615723,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
2.01,0.11,0.0,0.0,0.0,2.14029860496521,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
2.08,0.12,0.0,0.0,0.0,2.2092297077178955,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
2.15,0.12,0.0,0.0,0.0,2.280409812927246,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
2.21,0.13,0.0,0.0,0.0,2.3538646697998047,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
2.29,0.13,0.0,0.0,0.0,2.4296910762786865,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
2.36,0.13,0.0,0.0,0.0,2.5079262256622314,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
2.44,0.13,0.0,0.0,0.0,2.5886244773864746,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
2.52,0.14,0.0,0.0,0.0,2.6719605922698975,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
2.6,0.14,0.0,0.0,0.0,2.7581100463867188,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
2.69,0.14,0.0,0.0,0.0,2.8468823432922363,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz,GenuineIntel,X86_64,28,7340032,36700160,1.2000 GHz,2.4000 GHz,256,6,KNP
