total_time,total_cpu_usage,max_ram_usage,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
17.83,99%,1466240,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
17.78,99%,1469232,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
17.83,99%,1466848,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
17.86,99%,1468400,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
17.82,99%,1466276,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,KNP
21.40,99%,26004,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,TSP
21.63,99%,26000,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,TSP
21.60,99%,26004,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,TSP
21.52,99%,26012,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,TSP
21.42,99%,25996,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,TSP
21.12,99%,10452,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,N_Queens
21.21,99%,10448,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,N_Queens
21.15,99%,10448,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,N_Queens
21.12,99%,10444,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,N_Queens
21.06,99%,10444,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,N_Queens
23.83,192%,2388704,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,MATRIX_MULT
23.88,192%,2388700,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,MATRIX_MULT
23.85,192%,2388700,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,MATRIX_MULT
23.83,192%,2388696,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,MATRIX_MULT
23.82,192%,2389376,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,MATRIX_MULT
7.25,99%,32728,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,TSP2
7.23,99%,32724,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,TSP2
7.43,99%,32728,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,TSP2
7.34,99%,33356,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,TSP2
7.24,99%,32720,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,TSP2
32.19,99%,58436,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,TSP3
32.73,99%,58436,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,TSP3
32.09,99%,58440,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,TSP3
31.91,99%,58444,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,TSP3
31.90,99%,58440,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,2.9000 GHz,3.0000 GHz,256,6,TSP3
64.89,99%,80564,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,TSP4
63.36,99%,81152,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,TSP4
65.40,99%,80160,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,TSP4
64.66,99%,80156,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,TSP4
64.71,99%,80508,Intel(R) Xeon(R) CPU E5-2623 v3 @ 3.00GHz,GenuineIntel,X86_64,8,2097152,10485760,1.5000 GHz,3.0000 GHz,256,6,TSP4
