total_time,total_cpu_usage,max_ram_usage,brand_raw,vendor_id_raw,arch,count,l2_cache_size,l3_cache_size,hz_actual_friendly,hz_advertised_friendly,l2_cache_line_size,l2_cache_associativity,benchmark
16.28,99%,1467368,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,999.8840 MHz,2.1000 GHz,256,6,KNP
16.37,99%,1467316,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,999.8840 MHz,2.1000 GHz,256,6,KNP
16.40,99%,1466680,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,999.8840 MHz,2.1000 GHz,256,6,KNP
16.48,99%,1468008,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,999.8840 MHz,2.1000 GHz,256,6,KNP
16.46,99%,1465636,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,999.8840 MHz,2.1000 GHz,256,6,KNP
19.32,99%,26032,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0000 GHz,2.1000 GHz,256,6,TSP
19.43,99%,26008,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0000 GHz,2.1000 GHz,256,6,TSP
19.27,99%,26012,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0000 GHz,2.1000 GHz,256,6,TSP
19.16,99%,26012,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0000 GHz,2.1000 GHz,256,6,TSP
19.16,99%,26016,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0000 GHz,2.1000 GHz,256,6,TSP
19.93,99%,10456,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0249 GHz,2.1000 GHz,256,6,N_Queens
19.69,99%,10452,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0249 GHz,2.1000 GHz,256,6,N_Queens
19.77,99%,10452,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0249 GHz,2.1000 GHz,256,6,N_Queens
19.79,99%,10452,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0249 GHz,2.1000 GHz,256,6,N_Queens
19.65,99%,10452,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0249 GHz,2.1000 GHz,256,6,N_Queens
3.47,1837%,2481656,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0360 GHz,2.1000 GHz,256,6,MATRIX_MULT
3.72,1905%,2475584,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0360 GHz,2.1000 GHz,256,6,MATRIX_MULT
3.72,1920%,2479848,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0360 GHz,2.1000 GHz,256,6,MATRIX_MULT
3.62,1888%,2425536,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0360 GHz,2.1000 GHz,256,6,MATRIX_MULT
3.79,1930%,2479776,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,GenuineIntel,X86_64,32,33554432,23068672,1.0360 GHz,2.1000 GHz,256,6,MATRIX_MULT
